pid,_date,derivativo_link,dlc_link,format,iiif_json,_name,native_jpg,shelf_location,subjects,summary,title
1,1934,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341176/,https://dlc.library.columbia.edu/catalog/cul:69p8cz8wp5,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341176/info.json,"Warman, Manny, -1983","https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341176/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"View of Butler Library through foliage and a fence, looking west, 1934.",Butler Library - Looking West
2,7-Oct-33,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341028/,https://dlc.library.columbia.edu/catalog/cul:vmcvdnck6c,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341028/info.json,"Beals, A. Tennyson","https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341028/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 12 (Buildings & Grounds - Morningside - Butler Library, Construction 1933-1934), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 7 October 1933.",Butler Library Construction 29
3,6-Sep-50,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341165/,https://dlc.library.columbia.edu/catalog/cul:vhhmgqnkpj,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341165/info.json,"Warman, Manny, -1983","https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341165/full/!768,768/0/native.jpg","Box no. Box 138, Folder no. Folder 7 (Administration-Provost-Libraries, Kings College), Historical Photograph Collection",Academic libraries; New York (N.Y.),"Enos M. Johnson (left) of Brooklyn, hands rare volume over to Dr. Richard H. Logsdon, associate director of the Columbia University Libraries. The book, entitled 'A System of Natural Philosophy,' was drawn from the shelves of the old King's College library in 1772 -- a dozen years before King's College became Columbia. It was recently discovered by Mr. Johnston as he rummaged through the attic at the home of his aunt, Miss Susan Ruggles of Binghamton, N.Y.  The scholar who borrowed the book was Robert Harpur, one-time librarian of King's College and tutor of Alexander Hamilton.  It was not regarded as 'overdue' at the University library, which was fortunate in view of the fact that a considerable fine would have been in order. The fine, calculated at the rate of five cents per day, would have totaled $3,248.50. Dr. Logsdon expressed the Library's gratitude for the return of the volume. 'The Library is especially happy to have this historic volume come back into its possession,' said Dr. Logsdon. 'We are most grateful to Mr. Johnston. The book, spanning virtually all of Columbia's life through nearly two centuries of American history, will serves as an interesting item for exhibition in Columbia's coming Bicentennial celebration in 1954.' (from: press release attached to image)",Book Returns to Columbia Library After 178 Years
4,before 1931,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341195/,https://dlc.library.columbia.edu/catalog/cul:qnk98sf80n,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341195/info.json,,"https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341195/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.),View of the construction pit on the site of the future Butler Library.,Butler Library Construction Pit
5,between 1934 and 2009,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341191/,https://dlc.library.columbia.edu/catalog/cul:9w0vt4b8vr,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341191/info.json,"Warman, Manny, -1983","https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341191/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 14 (Buildings & Grounds - Morningside - Butler Library, Interior), Historical Photograph Collection",Academic libraries; Reading rooms; New York (N.Y.); Butler Library,View of artwork on wall in the College Library reading room.,College Library Reading Room Artwork
6,1941,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341072/,https://dlc.library.columbia.edu/catalog/cul:9zw3r228c2,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341072/info.json,Alumni Federation of Columbia University,"https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341072/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"South Hall (Butler Library) at night, 1941.",Butler Library at Night
7,17-Sep-88,https://derivativo-4.library.columbia.edu/iiif/2/cul:vt4b8gtj6x/,https://dlc.library.columbia.edu/catalog/cul:mpg4f4qrtz,clippings,https://derivativo-4.library.columbia.edu/iiif/2/cul:vt4b8gtj6x/info.json,"Kozinn, Allan; New York times","https://derivativo-4.library.columbia.edu/iiif/2/cul:vt4b8gtj6x/full/!768,768/0/native.jpg","Box no. Box 11, Folder no. Folder 16, Buildings and Grounds",Theaters; Columbia University,Photocopy of clipping from New York Times,"For Columbia Theater, A Festive First Night,' Article in the New York Times, September 17, 1988."
8,between 1934 and 2009,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341251/,https://dlc.library.columbia.edu/catalog/cul:zcrjdfn3cb,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341251/info.json,,"https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341251/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 14 (Buildings & Grounds - Morningside - Butler Library,Interior), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,View inside an office inside Butler Library on the third floor.,Butler Library Office
9,1898,https://derivativo-2.library.columbia.edu/iiif/2/cul:xd2547d89x/,https://dlc.library.columbia.edu/catalog/cul:m63xsj3v9x,photographs,https://derivativo-2.library.columbia.edu/iiif/2/cul:xd2547d89x/info.json,Geo. P. Hall & Son,"https://derivativo-2.library.columbia.edu/iiif/2/cul:xd2547d89x/full/!768,768/0/native.jpg","General Views, MS 180",Columbia University; Low Memorial Library,,General View of Columbia University
10,circa 1933-1934,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341216/,https://dlc.library.columbia.edu/catalog/cul:hhmgqnk9nq,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341216/info.json,"Beals, A. Tennyson","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341216/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"View of one of the light fixtures on the outside of Butler Library, ca. 1933-34.",Butler Library Exterior Lamp
